ignore,root,field,source,save,loadtype,datatype,primary_key,not_null,default,format,description
#,,This file is used to create the table which stores the sales data in Postgres,,,,,,,,,
#,,,,,,,,,,,
#,,"ignore column: Lines marked with #, are treated as comments and dropped when the file is loaded",,,,,,,,,
#,,root column: the value is used to identify entries from the same csv file,,,,,,,,,
#,,"NOTE: The value in the root column should generate a match with the regex used to match the names of individual csv files in a set, e.g. ‘SJ_’ is the unique portion of the Sales Journal csv export filename",,,,,,,,,
#,,"source column: indicates whether the field was optional (O)or mandatory (M) in the source database, or is an indicator (I) or generated (G) ",,,,,,,,,
#,,save column: indicates if the field should be saved (y) to the postgres database,,,,,,,,,
#,,loadtype column: the data type to use to load the column into a pandas DataFrame. By default the type is inferred based on the datatype column.,,,,,,,,,
#,,datatype column: the data type to use for the column when creating the database table,,,,,,,,,
#,,primary_key column: indicates of the field is a primary key for the table,,,,,,,,,
#,,"not_null column: indicates whether the column should have a NOT NULL constraint (y), when creating the database ",,,,,,,,,
#,,default column: any default value which should be specified when creating the database,,,,,,,,,
#,,format column: any format specifier which may be required by pandas to read the data from the csv files ,,,,,,,,,
#,,description column: a description of the column value,,,,,,,,,
#,,,,,,,,,,,
#,,Fields from the Sales journal,,,,,,,,,
,SJ_,ID,M,y,,BIGSERIAL,y,,,,Unique system-generated value which serves as the primary key
,SJ_,SOURCE,M,y,,TEXT,,y,,,Point of Sale in which the component was sold/changed/cancelled
,SJ_,SALESDATE,M,y,TEXT,TIMESTAMP,,y,,%d-%m-%Y %H:%M:%S,"Transaction date and time (date of the sale, change, cancellation or adjustment), 'DD-MM-YYYY HH:MM:SS'"
,SJ_,RESVCODE,M,y,,TEXT,,y,,,TDP Reservation code
,SJ_,RESVCOMPSEQUENCE,M,y,,SMALLINT,,,,,Sequence of this component within the reservation
,SJ_,ENTRYTYPE,M,y,,TEXT,,y,,,"Entry type (SALE, RECALL, ADJUSTMENT)"
,SJ_,SEQUENCE,M,y,,SMALLINT,,,,,"Unique sequence for unique constraint generated by trigger. (RESVCODE, RESVCOMPSEQUENCE, ENTRYTYPE, SEQUENCE) is the Unique key for the table."
,SJ_,RESVCOMPTYPE,M,y,,TEXT,,y,,,"Reservation component type, e.g. AIR, CAR, INSURANCE, ANCILLARYAIR, LODGING, ACTIVITYTOUR, MISCELLANEOUS, PROVIDER_PENALTY, SELLER_PENALTY, ADJUSTMENT"
,SJ_,RESVCOMPSUBTYPE,O,y,,TEXT,,,,,"Reservation component subtype. For example, for components of type ANCILLARYAIR, subtypes could be SEATFEE, BAGS, etc."
,SJ_,DESCRIPTION,O,y,,TEXT,,,,,Description of the component
,SJ_,REMOTEREFTYPE,O,y,,TEXT,,,,,Remote reference type
,SJ_,REMOTEREFCODE,O,y,,TEXT,,,,,Remote reference code
,SJ_,DOCUMENTED,I,y,,VARCHAR(1),,,,,"Y/N representing the existence in the raw data of 'Document number. For AIR components, this is the ticket number.'"
,SJ_,FARECONSTRUCTION,O,y,,TEXT,,,,,Fare construction
,SJ_,PROVIDERCODE,O,y,,TEXT,,,,,Provider code
,SJ_,CUSTOMERPROFILE,I,y,,VARCHAR(1),,,,,Y/N representing the existence in the raw data of 'Identifier of the Customer in the profile system'
